id,gender,age,video_duration_minutes
id_001,male,55,11.0
id_002,male,60,10.6
id_003,female,43,11.3
id_004,female,59,15.6
id_005,male,33,15.7
id_006,female,56,10.7
id_007,female,57,11.3
id_008,male,59,13.6
id_009,female,58,14.7
id_010,male,26,11.0
id_011,female,65,15.6
id_012,female,50,10.5
id_013,male,50,14.2
id_014,male,49,15.8
id_015,male,22,10.9
id_016,female,33,14.5
id_017,male,59,10.2
id_018,male,64,10.6
id_019,male,37,10.8
id_020,male,49,12.1
id_021,male,30,13.7
id_022,female,57,12.0
id_023,male,48,11.7
id_024,female,61,14.8
id_025,male,48,10.7
id_026,male,18,14.2
id_027,female,45,11.2
id_028,male,33,15.7
id_029,male,23,11.4
id_030,female,27,15.1
id_031,female,64,15.0
id_032,female,20,13.5
id_033,male,33,14.2
id_034,female,19,10.2
id_035,female,32,14.6
id_036,male,32,14.4
id_037,male,46,15.2
id_038,female,46,11.4
id_039,male,30,14.1
id_040,male,32,15.0
id_041,female,58,11.1
id_042,male,33,12.7
id_043,female,21,11.7
id_044,female,24,13.5
id_045,female,23,15.2
id_046,male,38,11.4
id_047,male,45,11.4
id_048,male,24,11.9
id_049,female,56,15.9
id_050,female,42,15.5
id_051,male,65,15.5
id_052,male,30,11.6
id_053,female,21,10.6
id_054,male,63,12.0
id_055,male,59,10.7
id_056,male,38,14.2
id_057,female,41,12.3
id_058,female,21,12.2
id_059,female,20,15.4
id_060,female,49,15.8
id_061,male,42,11.6
id_062,female,30,15.7
id_063,male,24,14.0
id_064,male,43,11.1
id_065,female,37,14.3
id_066,female,31,10.3
id_067,female,33,13.9
id_068,male,37,12.8
id_069,male,24,13.7
id_070,female,36,10.5
id_071,male,59,11.5
id_072,female,57,10.9
id_073,male,40,14.0
id_074,male,37,12.2
id_075,female,48,12.3
id_076,female,61,15.4
id_077,male,18,15.4
id_078,male,50,13.4
id_079,male,57,15.4
id_080,female,55,11.1
id_081,male,60,11.9
id_082,female,43,11.1
id_083,female,26,11.5
id_084,male,40,15.7
id_085,female,27,15.2
id_086,female,19,12.7
id_087,female,52,13.2
id_088,female,61,15.4
id_089,male,30,14.5
id_090,male,33,13.3
id_091,female,51,13.4
id_092,female,28,14.5
id_093,female,38,11.9
id_094,male,18,14.9
id_095,male,29,11.5
id_096,male,33,14.1
id_097,male,35,11.9
id_098,male,60,15.7
id_099,male,20,10.1
id_100,male,53,11.8
